"user_id","most_search_june","category_june","most_search_july","category_july","Trending_Type","Previous"
"06408953",cuộc chiến thượng lưu,Phim hài,thiên nga bóng đêm,Phim,Changed,Phim hài
"06038732",kẻ trộm mặt trăng: minions,Phim hoạt hình (animation),Thử Thách Thần Tượng,Chương trình truyền hình thực tế,Changed,Phim hoạt hình (animation)
"06408516",sao băng,Phim tình cảm,thiên nga bóng đêm,Phim,Changed,Phim tình cảm
"06047585",vẻ đẹp đích thực,Phim tình cảm,vẻ đẹp đích thực,Phim tình cảm,Unchanged,Unchanged
"06070462",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"06807901",nữ thanh tra tài ba,Phim,nữ thanh tra tài ba,Phim,Unchanged,Unchanged
"06050197",bắt ma phá án,Phim trinh thám,vô tình nhặt được tổng tài,Phim tình cảm,Changed,Phim trinh thám
"0642587",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"0263540",vô tình nhặt được tổng tài,Phim tình cảm,why her?,Phim tâm lý,Changed,Phim tình cảm
"06459553",con tim sắt đá,Phim tình cảm,vẻ đẹp đích thực,Phim tình cảm,Unchanged,Unchanged
"06455627",cảnh đẹp ngày vui biết bao giờ,Video về du lịch và cảnh đẹp,nhất kiến khuynh tâm,Phim cổ trang,Changed,Video về du lịch và cảnh đẹp
"06090717",vô tình nhặt được tổng tài,Phim tình cảm,vô tình nhặt được tổng tài,Phim tình cảm,Unchanged,Unchanged
"06821394",thiên nga bóng đêm,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"06070867",Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Unchanged,Unchanged
"06053163",vẻ đẹp đích thực,Phim tình cảm,bắt ma phá án,Phim trinh thám,Changed,Phim tình cảm
"06434542",fairy tail,Phim hoạt hình (anime),yêu tinh,Phim kinh dị,Changed,Phim hoạt hình (anime)
"06821553",vô tình nhặt được tổng tài,Phim tình cảm,sao băng,Phim tình cảm,Unchanged,Unchanged
"06442273",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"06442554",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"06897040",nữ thanh tra tài ba,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"06067127",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Unchanged,Unchanged
"06092068",yêu nhầm chị dâu,Phim tình cảm hài hước,vẻ đẹp đích thực,Phim tình cảm,Changed,Phim tình cảm hài hước
"06801299",cảnh đẹp ngày vui biết bao giờ,Video về du lịch và cảnh đẹp,cuộc chiến thượng lưu,Phim hài,Changed,Video về du lịch và cảnh đẹp
"06895502",sao băng,Phim tình cảm,vô tình nhặt được tổng tài,Phim tình cảm,Unchanged,Unchanged
"06484098",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,vẻ đẹp đích thực,Phim tình cảm,Changed,Phim
"06001747",vô tình nhặt được tổng tài,Phim tình cảm,vô tình nhặt được tổng tài,Phim tình cảm,Unchanged,Unchanged
"06443846",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"06458791",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"06824346",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"06480429",yêu tinh,Phim kinh dị,vẻ đẹp đích thực,Phim tình cảm,Changed,Phim kinh dị
"06098941",hội pháp sư,Phim phép thuật,hội pháp sư,Phim phép thuật,Unchanged,Unchanged
"06822126",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"0811387",lấy danh nghĩa người nhà,Phim,lấy danh nghĩa người nhà,Phim,Unchanged,Unchanged
"0823668",nữ thanh tra tài ba,Phim,nhất kiến khuynh tâm,Phim cổ trang,Changed,Phim
"06875114",siêu nhân,Phim hành động,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Changed,Phim hành động
"06826972",vẻ đẹp đích thực,Phim tình cảm,vẻ đẹp đích thực,Phim tình cảm,Unchanged,Unchanged
"065955",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Unchanged,Unchanged
"06403734",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"06886602",Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Unchanged,Unchanged
"06862215",bắt ma phá án,Phim trinh thám,bắt ma phá án,Phim trinh thám,Unchanged,Unchanged
"0680718",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"0865170",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Thử Thách Thần Tượng,Chương trình truyền hình thực tế,Changed,Phim
"06417465",fairy tail,Phim hoạt hình (anime),kẻ trộm mặt trăng: minions,Phim hoạt hình (animation),Changed,Phim hoạt hình (anime)
"06886356",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"06899921",cuộc chiến thượng lưu,Phim hài,thiên nga bóng đêm,Phim,Changed,Phim hài
"0897747",thiên nga bóng đêm,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"06868949",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"06807806",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"0893338",nữ thanh tra tài ba,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"06001783",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"1246496",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"0836616",yêu tinh,Phim kinh dị,yêu tinh,Phim kinh dị,Unchanged,Unchanged
"06835579",vẻ đẹp đích thực,Phim tình cảm,cuộc chiến thượng lưu,Phim hài,Changed,Phim tình cảm
"06483020",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1198008",Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,sao băng,Phim tình cảm,Changed,Chương trình truyền hình thực tế
"06877203",hội pháp sư,Phim phép thuật,hội pháp sư,Phim phép thuật,Unchanged,Unchanged
"0896771",why her?,Phim tâm lý,thiên nga bóng đêm,Phim,Changed,Phim tâm lý
"06062395",cô nàng trong trắng oh woo ri,Phim,nhất kiến khuynh tâm,Phim cổ trang,Changed,Phim
"1342660",thiên nga bóng đêm,Phim,mộng hoa lục,Phim,Unchanged,Unchanged
"0914202",yêu nhầm chị dâu,Phim tình cảm hài hước,nhất kiến khuynh tâm,Phim cổ trang,Changed,Phim tình cảm hài hước
"06892005",bắt ma phá án,Phim trinh thám,kẻ trộm mặt trăng: minions,Phim hoạt hình (animation),Changed,Phim trinh thám
"1208525",Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Changed,Chương trình truyền hình thực tế
"06880354",yêu tinh,Phim kinh dị,yêu tinh,Phim kinh dị,Unchanged,Unchanged
"06861077",cuộc chiến thượng lưu,Phim hài,vẻ đẹp đích thực,Phim tình cảm,Changed,Phim hài
"1446358",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"1161652",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"06897724",mộng hoa lục,Phim,mộng hoa lục,Phim,Unchanged,Unchanged
"1106233",thiên nga bóng đêm,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"06881777",nữ thanh tra tài ba,Phim,fairy tail,Phim hoạt hình (anime),Changed,Phim
"0966891",mộng hoa lục,Phim,mộng hoa lục,Phim,Unchanged,Unchanged
"1227580",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"06074298",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"1106988",yêu nhầm chị dâu,Phim tình cảm hài hước,yêu nhầm chị dâu,Phim tình cảm hài hước,Unchanged,Unchanged
"1012323",Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Unchanged,Unchanged
"1634916",nữ thanh tra tài ba,Phim,nhất kiến khuynh tâm,Phim cổ trang,Changed,Phim
"1165374",fairy tail,Phim hoạt hình (anime),fairy tail,Phim hoạt hình (anime),Unchanged,Unchanged
"1184935",lấy danh nghĩa người nhà,Phim,cuộc chiến thượng lưu,Phim hài,Changed,Phim
"1229420",thiên nga bóng đêm,Phim,sao băng,Phim tình cảm,Changed,Phim
"06096250",fairy tail,Phim hoạt hình (anime),running man,Chương trình truyền hình thực tế,Changed,Phim hoạt hình (anime)
"0688544",vẻ đẹp đích thực,Phim tình cảm,kẻ trộm mặt trăng: minions,Phim hoạt hình (animation),Changed,Phim tình cảm
"1117541",thiên nga bóng đêm,Phim,yêu tinh,Phim kinh dị,Changed,Phim
"1334067",lấy danh nghĩa người nhà,Phim,nhất kiến khuynh tâm,Phim cổ trang,Changed,Phim
"1929371",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Unchanged,Unchanged
"1190362",Thử Thách Thần Tượng,Chương trình truyền hình thực tế,Thử Thách Thần Tượng,Chương trình truyền hình thực tế,Unchanged,Unchanged
"06897220",yêu nhầm chị dâu,Phim tình cảm hài hước,yêu nhầm chị dâu,Phim tình cảm hài hước,Unchanged,Unchanged
"1314878",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1712416",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,siêu nhân,Phim hành động,Changed,Phim
"1646227",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1482194",mộng hoa lục,Phim,running man,Chương trình truyền hình thực tế,Changed,Phim
"06097267",nhất kiến khuynh tâm,Phim cổ trang,why her?,Phim tâm lý,Changed,Phim cổ trang
"0898712",thiên nga bóng đêm,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"1307803",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1852144",cô nàng trong trắng oh woo ri,Phim,sao băng,Phim tình cảm,Changed,Phim
"2017686",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Unchanged,Unchanged
"1714577",thiên nga bóng đêm,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"1781008",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1836180",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1380113",vẻ đẹp đích thực,Phim tình cảm,vẻ đẹp đích thực,Phim tình cảm,Unchanged,Unchanged
"2072006",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1336020",lấy danh nghĩa người nhà,Phim,chàng hậu,Phim tình cảm hài hước,Changed,Phim
"2042006",running man,Chương trình truyền hình thực tế,running man,Chương trình truyền hình thực tế,Unchanged,Unchanged
"1760132",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"1540308",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1902070",mộng hoa lục,Phim,why her?,Phim tâm lý,Changed,Phim
"1880012",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"2302856",running man,Chương trình truyền hình thực tế,running man,Chương trình truyền hình thực tế,Unchanged,Unchanged
"160702",thiên nga bóng đêm,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"1402188",running man,Chương trình truyền hình thực tế,Thử Thách Thần Tượng,Chương trình truyền hình thực tế,Unchanged,Unchanged
"2245838",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"2058871",cô nàng trong trắng oh woo ri,Phim,vẻ đẹp đích thực,Phim tình cảm,Changed,Phim
"2176629",nhất kiến khuynh tâm,Phim cổ trang,thiên nga bóng đêm,Phim,Changed,Phim cổ trang
"1812613",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"2486561",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1688776",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1645161",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Unchanged,Unchanged
"2255909",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"2135563",thiên nga bóng đêm,Phim,lấy danh nghĩa người nhà,Phim,Unchanged,Unchanged
"1823545",mộng hoa lục,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"2681795",thiên nga bóng đêm,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"2203248",running man,Chương trình truyền hình thực tế,thiên nga bóng đêm,Phim,Changed,Chương trình truyền hình thực tế
"1992231",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1884127",con tim sắt đá,Phim tình cảm,con tim sắt đá,Phim tình cảm,Unchanged,Unchanged
"06400675",fairy tail,Phim hoạt hình (anime),sao băng,Phim tình cảm,Changed,Phim hoạt hình (anime)
"2401240",bắt ma phá án,Phim trinh thám,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Changed,Phim trinh thám
"2651993",bắt ma phá án,Phim trinh thám,nhất kiến khuynh tâm,Phim cổ trang,Changed,Phim trinh thám
"2263609",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1883428",vô tình nhặt được tổng tài,Phim tình cảm,con tim sắt đá,Phim tình cảm,Unchanged,Unchanged
"2025081",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Unchanged,Unchanged
"1949727",Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Unchanged,Unchanged
"2713301",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"2781866",yêu tinh,Phim kinh dị,chàng hậu,Phim tình cảm hài hước,Changed,Phim kinh dị
"2737970",thiên nga bóng đêm,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"2361560",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"1978029",vẻ đẹp đích thực,Phim tình cảm,chàng hậu,Phim tình cảm hài hước,Changed,Phim tình cảm
"1971631",nữ thanh tra tài ba,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"2335984",why her?,Phim tâm lý,running man,Chương trình truyền hình thực tế,Changed,Phim tâm lý
"2864909",nữ thanh tra tài ba,Phim,mộng hoa lục,Phim,Unchanged,Unchanged
"2972852",nữ thanh tra tài ba,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"2910772",bắt ma phá án,Phim trinh thám,why her?,Phim tâm lý,Changed,Phim trinh thám
"2674550",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"2923032",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Unchanged,Unchanged
"2016350",yêu nhầm chị dâu,Phim tình cảm hài hước,con tim sắt đá,Phim tình cảm,Changed,Phim tình cảm hài hước
"2345015",yêu tinh,Phim kinh dị,yêu tinh,Phim kinh dị,Unchanged,Unchanged
"2347332",thiên nga bóng đêm,Phim,nữ thanh tra tài ba,Phim,Unchanged,Unchanged
"3914158",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"06441203",cuộc chiến thượng lưu,Phim hài,con tim sắt đá,Phim tình cảm,Changed,Phim hài
"2980626",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"2939934",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"2274262",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"2392192",sao băng,Phim tình cảm,why her?,Phim tâm lý,Changed,Phim tình cảm
"40120024",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"2640632",sao băng,Phim tình cảm,bắt ma phá án,Phim trinh thám,Changed,Phim tình cảm
"2669937",why her?,Phim tâm lý,Thử Thách Thần Tượng,Chương trình truyền hình thực tế,Changed,Phim tâm lý
"2933054",why her?,Phim tâm lý,fairy tail,Phim hoạt hình (anime),Changed,Phim tâm lý
"2421986",Tìm kiếm bằng giọng nói,Chương trình truyền hình thực tế,Thử Thách Thần Tượng,Chương trình truyền hình thực tế,Unchanged,Unchanged
"3610214",yêu nhầm chị dâu,Phim tình cảm hài hước,u19,Phim học đường,Changed,Phim tình cảm hài hước
"3222614",mộng hoa lục,Phim,bắt ma phá án,Phim trinh thám,Changed,Phim
"06444137",hội pháp sư,Phim phép thuật,kẻ trộm mặt trăng: minions,Phim hoạt hình (animation),Changed,Phim phép thuật
"3167957",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"40712343",sao băng,Phim tình cảm,vẻ đẹp đích thực,Phim tình cảm,Unchanged,Unchanged
"3738402",cuộc chiến thượng lưu,Phim hài,cuộc chiến thượng lưu,Phim hài,Unchanged,Unchanged
"2737308",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"2507015",thiên nga bóng đêm,Phim,thiên nga bóng đêm,Phim,Unchanged,Unchanged
"3263510",vẻ đẹp đích thực,Phim tình cảm,vẻ đẹp đích thực,Phim tình cảm,Unchanged,Unchanged
"3631862",mộng hoa lục,Phim,mộng hoa lục,Phim,Unchanged,Unchanged
"293595",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,cảnh đẹp ngày vui biết bao giờ,Video về du lịch và cảnh đẹp,Changed,Video âm nhạc
"40727429",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"40038529",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"3657499",sao băng,Phim tình cảm,sao băng,Phim tình cảm,Unchanged,Unchanged
"40046375",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"2941466",mộng hoa lục,Phim,mộng hoa lục,Phim,Unchanged,Unchanged
"40800813",vô tình nhặt được tổng tài,Phim tình cảm,vẻ đẹp đích thực,Phim tình cảm,Unchanged,Unchanged
"2588489",sao băng,Phim tình cảm,cảnh đẹp ngày vui biết bao giờ,Video về du lịch và cảnh đẹp,Changed,Phim tình cảm
"3007466",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"0852660",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Unchanged,Unchanged
"40105470",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
"40850316",Thử Thách Thần Tượng,Chương trình truyền hình thực tế,Thử Thách Thần Tượng,Chương trình truyền hình thực tế,Unchanged,Unchanged
"40108869",tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Unchanged,Unchanged
"3915478",thiên nga bóng đêm,Phim,tôi thấy hoa vàng trên cỏ xanh,Video âm nhạc,Changed,Phim
"3235789",mộng hoa lục,Phim,kẻ trộm mặt trăng: minions,Phim hoạt hình (animation),Changed,Phim
"40383479",running man,Chương trình truyền hình thực tế,running man,Chương trình truyền hình thực tế,Unchanged,Unchanged
"3618530",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"40183328",siêu nhân,Phim hành động,siêu nhân,Phim hành động,Unchanged,Unchanged
"41086732",yêu tinh,Phim kinh dị,sao băng,Phim tình cảm,Changed,Phim kinh dị
"4032825",yêu tinh,Phim kinh dị,mộng hoa lục,Phim,Changed,Phim kinh dị
"3950505",vô tình nhặt được tổng tài,Phim tình cảm,sao băng,Phim tình cảm,Unchanged,Unchanged
"4044328",Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Liên Minh Công Lý: Phiên bản của Zack Snyder,Phim,Unchanged,Unchanged
